,Order ID,AWB Number,Total weight as per X (KG),Weight slab charged by Courier Company (KG),Delivery Zone as per X,Delivery Zone charged by Courier Company,Type of Shipment,Weight slab as per X (KG),Expected Charge as per X (Rs.),Charges Billed by Courier Company (Rs.),Difference Between Expected Charges and Billed Charges (Rs.)
179,2001806446,1091117223211,1.33,0.69,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
180,2001806338,1091117222570,1.27,0.7,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
181,2001806338,1091117222570,2.4,0.7,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
182,2001806338,1091117222570,1.33,0.7,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
183,2001806304,1091117222360,1.27,0.71,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
184,2001806304,1091117222360,2.4,0.71,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
185,2001806304,1091117222360,1.33,0.71,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
186,2001806273,1091117222194,1.27,1.0,d,d,Forward charges,1.25,89.6,101.2,11.600000000000009
187,2001806273,1091117222194,2.4,1.0,d,d,Forward charges,1.25,89.6,101.2,11.600000000000009
188,2001806273,1091117222194,1.33,1.0,d,d,Forward charges,1.25,89.6,101.2,11.600000000000009
189,2001806273,1091117222194,1.15,1.0,d,d,Forward charges,1.25,89.6,101.2,11.600000000000009
190,2001806229,1091117222080,1.27,0.71,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
191,2001806229,1091117222080,2.4,0.71,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
192,2001806229,1091117222080,1.33,0.71,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
193,2001821750,1091121034350,1.65,0.8,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
194,2001821750,1091121034350,3.5,0.8,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
195,2001821750,1091121034350,2.4,0.8,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
196,2001821679,1091121031745,1.65,0.2,d,d,Forward charges,1.25,89.6,52.4,-37.199999999999996
197,2001807970,1091117327474,1.65,4.13,d,d,Forward charges,1.25,89.6,403.8,314.20000000000005
198,2001807970,1091117327474,6.0,4.13,d,d,Forward charges,1.25,89.6,403.8,314.20000000000005
199,2001806733,1091117226674,1.65,1.13,d,d,Forward charges,1.25,89.6,135.0,45.400000000000006
200,2001806733,1091117226674,1.12,1.13,d,d,Forward charges,1.25,89.6,135.0,45.400000000000006
201,2001806733,1091117226674,2.4,1.13,d,d,Forward charges,1.25,89.6,135.0,45.400000000000006
203,2001806733,1091117226674,2.1,1.13,d,d,Forward charges,1.25,89.6,135.0,45.400000000000006
204,2001816131,1091119367193,3.5,0.7,d,d,Forward charges,1.25,56.6,90.2,33.6
205,2001816131,1091119367193,1.02,0.7,d,d,Forward charges,1.25,56.6,90.2,33.6
206,2001812854,1091118548333,3.5,2.94,d,d,Forward charges,1.25,56.6,280.4,223.79999999999998
207,2001812854,1091118548333,1.12,2.94,d,d,Forward charges,1.25,56.6,280.4,223.79999999999998
210,2001812854,1091118548333,3.5,2.94,d,d,Forward charges,1.25,89.6,280.4,190.79999999999998
213,2001812854,1091118548333,5.0,2.94,d,d,Forward charges,1.25,89.6,280.4,190.79999999999998
214,2001807613,1091117333251,3.5,1.04,d,d,Forward charges,1.25,89.6,135.0,45.400000000000006
215,2001807613,1091117333251,2.4,1.04,d,d,Forward charges,1.25,89.6,135.0,45.400000000000006
217,2001825261,1091121981575,1.37,1.6,d,d,Forward and RTO charges,1.25,89.6,345.0,255.4
218,2001825261,1091121981575,0.1,1.6,d,d,Forward and RTO charges,1.25,56.6,345.0,288.4
219,2001825261,1091121981575,1.12,1.6,d,d,Forward and RTO charges,1.25,56.6,345.0,288.4
221,2001825261,1091121981575,2.4,1.6,d,d,Forward and RTO charges,1.25,89.6,345.0,255.4
222,2001810549,1091117806263,1.37,1.86,d,d,Forward charges,1.25,89.6,191.8,102.20000000000002
223,2001810549,1091117806263,2.4,1.86,d,d,Forward charges,1.25,89.6,191.8,102.20000000000002
224,2001810549,1091117806263,2.4,1.86,d,d,Forward charges,1.25,56.6,191.8,135.20000000000002
225,2001810549,1091117806263,2.32,1.86,d,d,Forward charges,1.25,56.6,191.8,135.20000000000002
226,2001823564,1091121666133,1.12,0.7,d,d,Forward and RTO charges,1.25,56.6,172.8,116.20000000000002
229,2001821502,1091121185863,1.12,0.6,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
231,2001821502,1091121185863,1.1,0.6,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
232,2001821284,1091120962515,1.12,0.2,d,d,Forward charges,1.25,89.6,45.4,-44.199999999999996
233,2001821284,1091120962515,0.65,0.2,d,d,Forward charges,1.25,89.6,45.4,-44.199999999999996
234,2001817093,1091121485824,1.12,1.3,b,b,Forward and RTO charges,0.5,89.6,166.1,76.5
237,2001817093,1091121485824,1.2,1.3,b,b,Forward and RTO charges,0.5,89.6,166.1,76.5
238,2001817093,1091121485824,1.0,1.3,b,b,Forward and RTO charges,0.5,89.6,166.1,76.5
239,2001817093,1091121485824,2.1,1.3,b,b,Forward and RTO charges,0.5,89.6,166.1,76.5
240,2001817093,1091121485824,1.4,1.3,b,b,Forward and RTO charges,0.5,89.6,166.1,76.5
241,2001817093,1091121485824,1.15,1.3,b,b,Forward and RTO charges,0.5,89.6,166.1,76.5
242,2001811192,1091117957780,1.12,1.13,d,d,Forward and RTO charges,1.25,89.6,258.9,169.29999999999998
244,2001811192,1091117957780,1.12,1.13,d,d,Forward and RTO charges,1.25,56.6,258.9,202.29999999999998
245,2001811192,1091117957780,1.2,1.13,d,d,Forward and RTO charges,1.25,56.6,258.9,202.29999999999998
246,2001811192,1091117957780,1.0,1.13,d,d,Forward and RTO charges,1.25,56.6,258.9,202.29999999999998
247,2001811192,1091117957780,1.4,1.13,d,d,Forward and RTO charges,1.25,89.6,258.9,169.29999999999998
248,2001808102,1091117435005,1.12,1.28,d,d,Forward charges,1.25,89.6,135.0,45.400000000000006
251,2001808102,1091117435005,2.4,1.28,d,d,Forward charges,1.25,89.6,135.0,45.400000000000006
252,2001808102,1091117435005,1.15,1.28,d,d,Forward charges,1.25,56.6,135.0,78.4
253,2001808102,1091117435005,1.3,1.28,d,d,Forward charges,1.25,56.6,135.0,78.4
254,2001807415,1091117325094,1.12,1.0,b,b,Forward charges,0.5,89.6,61.3,-28.299999999999997
255,2001807415,1091117325094,2.4,1.0,b,b,Forward charges,0.5,89.6,61.3,-28.299999999999997
256,2001807415,1091117325094,1.2,1.0,b,b,Forward charges,0.5,89.6,61.3,-28.299999999999997
257,2001807362,1091117324394,1.12,2.0,d,d,Forward charges,1.25,89.6,179.8,90.20000000000002
262,2001807036,1091117323005,1.12,1.64,d,d,Forward charges,1.25,89.6,179.8,90.20000000000002
265,2001807036,1091117323005,1.15,1.64,d,d,Forward charges,1.25,89.6,179.8,90.20000000000002
266,2001806616,1091117225484,1.12,1.08,b,b,Forward charges,0.5,89.6,98.6,9.0
267,2001806616,1091117225484,2.4,1.08,b,b,Forward charges,0.5,89.6,98.6,9.0
268,2001806616,1091117225484,1.21,1.08,b,b,Forward charges,0.5,89.6,98.6,9.0
269,2001806616,1091117225484,1.2,1.08,b,b,Forward charges,0.5,89.6,98.6,9.0
271,2001806616,1091117225484,2.5,1.08,b,b,Forward charges,0.5,89.6,98.6,9.0
272,2001806567,1091117224902,1.12,1.16,d,d,Forward charges,1.25,89.6,141.0,51.400000000000006
273,2001806567,1091117224902,1.2,1.16,d,d,Forward charges,1.25,56.6,141.0,84.4
274,2001806567,1091117224902,2.9,1.16,d,d,Forward charges,1.25,56.6,141.0,84.4
275,2001806567,1091117224902,1.2,1.16,d,d,Forward charges,1.25,89.6,141.0,51.400000000000006
276,2001806567,1091117224902,1.6,1.16,d,d,Forward charges,1.25,56.6,141.0,84.4
277,2001806567,1091117224902,1.5,1.16,d,d,Forward charges,1.25,56.6,141.0,84.4
278,2001806408,1091117222931,1.12,2.5,d,d,Forward charges,1.25,56.6,224.6,168.0
279,2001806408,1091117222931,1.0,2.5,d,d,Forward charges,1.25,56.6,224.6,168.0
280,2001806408,1091117222931,1.65,2.5,d,d,Forward charges,1.25,56.6,224.6,168.0
281,2001806408,1091117222931,5.52,2.5,d,d,Forward charges,1.25,89.6,224.6,135.0
282,2001822466,1091121305541,1.12,1.1,d,d,Forward charges,1.25,89.6,135.0,45.400000000000006
283,2001822466,1091121305541,2.4,1.1,d,d,Forward charges,1.25,111.0,135.0,24.0
284,2001821185,1091120959225,2.4,2.1,d,d,Forward charges,1.25,111.0,224.6,113.6
286,2001821185,1091120959225,1.33,2.1,d,d,Forward charges,1.25,56.6,224.6,168.0
287,2001821185,1091120959225,1.21,2.1,d,d,Forward charges,1.25,56.6,224.6,168.0
288,2001821185,1091120959225,2.9,2.1,d,d,Forward charges,1.25,56.6,224.6,168.0
290,2001821185,1091120959225,2.9,2.1,d,d,Forward charges,1.25,89.6,224.6,135.0
291,2001821185,1091120959225,2.4,2.1,d,d,Forward charges,1.25,89.6,224.6,135.0
292,2001811604,1091118004245,2.4,0.8,b,b,Forward charges,0.5,89.6,67.3,-22.299999999999997
293,2001811604,1091118004245,1.21,0.8,b,b,Forward charges,0.5,89.6,67.3,-22.299999999999997
294,2001811604,1091118004245,1.2,0.8,b,b,Forward charges,0.5,89.6,67.3,-22.299999999999997
295,2001807976,1091117327496,2.4,0.7,d,d,Forward and RTO charges,1.25,89.6,172.8,83.20000000000002
297,2001807976,1091117327496,1.21,0.7,d,d,Forward and RTO charges,1.25,89.6,172.8,83.20000000000002
298,2001807976,1091117327496,1.2,0.7,d,d,Forward and RTO charges,1.25,89.6,172.8,83.20000000000002
299,2001807960,1091117327312,2.4,1.0,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
301,2001807960,1091117327312,2.4,1.0,d,d,Forward charges,1.25,56.6,90.2,33.6
302,2001807960,1091117327312,2.1,1.0,d,d,Forward charges,1.25,56.6,90.2,33.6
303,2001812838,1091118547832,1.12,0.6,b,b,Forward and RTO charges,0.5,56.6,108.3,51.699999999999996
304,2001812838,1091118547832,1.1,0.6,b,b,Forward and RTO charges,0.5,89.6,108.3,18.700000000000003
305,2001812650,1091118591534,1.12,0.61,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
306,2001812650,1091118591534,1.15,0.61,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
307,2001821742,1091121034114,2.4,0.15,d,d,Forward charges,1.25,89.6,45.4,-44.199999999999996
308,2001811306,1091117958163,2.4,1.1,d,d,Forward charges,1.25,89.6,135.0,45.400000000000006
310,2001811306,1091117958163,1.65,1.1,d,d,Forward charges,1.25,89.6,135.0,45.400000000000006
311,2001811306,1091117958163,3.0,1.1,d,d,Forward charges,1.25,89.6,135.0,45.400000000000006
312,2001811229,1091117957942,2.4,0.6,d,d,Forward charges,1.25,89.6,93.2,3.6000000000000085
313,2001811229,1091117957942,1.0,0.6,d,d,Forward charges,1.25,89.6,93.2,3.6000000000000085
314,2001811229,1091117957942,1.65,0.6,d,d,Forward charges,1.25,56.6,93.2,36.6
315,2001810104,1091117804200,2.4,0.76,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
317,2001810104,1091117804200,1.21,0.76,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
318,2001808286,1091117435602,2.4,0.77,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
320,2001808286,1091117435602,1.21,0.77,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
321,2001807930,1091117327695,2.4,0.15,d,d,Forward charges,1.25,56.6,45.4,-11.200000000000003
322,2001807012,1091117229345,2.4,0.15,d,d,Forward charges,1.25,56.6,45.4,-11.200000000000003
323,2001806686,1091117229555,2.4,0.15,d,d,Forward charges,1.25,89.6,45.4,-44.199999999999996
324,2001821766,1091121034641,1.2,0.2,d,d,Forward charges,1.25,89.6,63.4,-26.199999999999996
325,2001809934,1091117803511,2.4,0.82,d,d,Forward charges,1.25,56.6,98.2,41.6
326,2001809934,1091117803511,1.21,0.82,d,d,Forward charges,1.25,111.0,98.2,-12.799999999999997
327,2001806801,1091117227816,2.4,1.35,b,b,Forward charges,0.5,111.0,89.6,-21.400000000000006
328,2001806801,1091117227816,1.21,1.35,b,b,Forward charges,0.5,89.6,89.6,0.0
329,2001806226,1091117222065,2.4,0.68,d,d,Forward charges,1.25,89.6,90.2,0.6000000000000085
330,2001808675,1091117437050,0.65,1.2,b,b,Forward charges,0.5,56.6,89.6,32.99999999999999
331,2001808675,1091117437050,1.65,1.2,b,b,Forward charges,0.5,56.6,89.6,32.99999999999999
332,2001808675,1091117437050,1.13,1.2,b,b,Forward charges,0.5,89.6,89.6,0.0
333,2001808675,1091117437050,1.7,1.2,b,b,Forward charges,0.5,,89.6,
334,2001808675,1091117437050,5.0,1.2,b,b,Forward charges,0.5,,89.6,
336,2001821190,1091120959015,6.0,1.2,d,d,Forward and RTO charges,1.25,,275.9,
338,2001808832,1091117437864,6.0,2.47,d,d,Forward charges,1.25,,224.6,
339,2001818390,1091120014461,1.21,0.8,e,e,Forward and RTO charges,1.5,,213.5,
340,2001818390,1091120014461,2.4,0.8,e,e,Forward and RTO charges,1.5,,213.5,
341,2001818390,1091120014461,1.2,0.8,e,e,Forward and RTO charges,1.5,,213.5,
342,2001807058,1091117323112,2.9,1.15,b,b,Forward charges,0.5,,89.6,
345,2001807058,1091117323112,0.65,1.15,b,b,Forward charges,0.5,,89.6,
346,2001807058,1091117323112,1.13,1.15,b,b,Forward charges,0.5,,89.6,
347,2001807058,1091117323112,1.2,1.15,b,b,Forward charges,0.5,,89.6,
348,2001806232,1091117222124,2.4,1.3,d,d,Forward charges,1.25,,140.0,
349,2001806232,1091117222124,1.37,1.3,d,d,Forward charges,1.25,,140.0,
350,2001820978,1091120922803,1.65,0.5,d,d,Forward charges,1.25,,45.4,
351,2001820978,1091120922803,3.5,0.5,d,d,Forward charges,1.25,,45.4,
352,2001811363,1091117958395,1.65,0.59,d,d,Forward charges,1.25,,90.2,
354,2001811363,1091117958395,1.13,0.59,d,d,Forward charges,1.25,,90.2,
355,2001811363,1091117958395,0.65,0.59,d,d,Forward charges,1.25,,90.2,
356,2001808801,1091117437680,1.65,0.8,d,d,Forward charges,1.25,,90.2,
357,2001808801,1091117437680,0.65,0.8,d,d,Forward charges,1.25,,90.2,
358,2001808801,1091117437680,1.13,0.8,d,d,Forward charges,1.25,,90.2,
359,2001808801,1091117437680,2.1,0.8,d,d,Forward charges,1.25,,90.2,
360,2001808118,1091117435134,1.65,0.5,b,b,Forward charges,0.5,,33.0,
361,2001808118,1091117435134,0.65,0.5,b,b,Forward charges,0.5,,33.0,
362,2001808118,1091117435134,1.13,0.5,b,b,Forward charges,0.5,,33.0,
363,2001820690,1091121306101,0.65,0.15,d,d,Forward charges,1.25,,62.4,
364,2001816684,1091119398844,1.2,0.99,d,d,Forward and RTO charges,1.25,,172.8,
366,2001816684,1091119398844,1.0,0.99,d,d,Forward and RTO charges,1.25,,172.8,
367,2001809794,1091117795531,1.2,1.5,d,d,Forward charges,1.25,,135.0,
368,2001809794,1091117795531,3.5,1.5,d,d,Forward charges,1.25,,135.0,
370,2001809794,1091117795531,1.65,1.5,d,d,Forward charges,1.25,,135.0,
371,2001809794,1091117795531,2.32,1.5,d,d,Forward charges,1.25,,135.0,
372,2001809794,1091117795531,5.0,1.5,d,d,Forward charges,1.25,,135.0,
373,2001809794,1091117795531,0.3,1.5,d,d,Forward charges,1.25,,135.0,
374,2001817160,1091119630264,3.5,0.7,d,d,Forward and RTO charges,1.25,,181.8,
376,2001806458,1091117223244,3.5,1.0,b,b,Forward charges,0.5,,61.3,
378,2001815688,1091119169701,1.2,0.2,d,d,Forward charges,1.25,,45.4,
379,2001815688,1091119169701,1.0,0.2,d,d,Forward charges,1.25,,45.4,
380,2001811305,1091121846136,1.2,0.5,d,d,Forward charges,1.25,,65.4,
381,2001811305,1091121846136,2.1,0.5,d,d,Forward charges,1.25,,65.4,
384,2001808739,1091117437293,1.2,1.63,d,d,Forward charges,1.25,,179.8,
385,2001808739,1091117437293,1.0,1.63,d,d,Forward charges,1.25,,179.8,
386,2001806210,1091117221940,1.2,2.92,b,b,Forward charges,0.5,,174.5,
387,2001806210,1091117221940,1.0,2.92,b,b,Forward charges,0.5,,174.5,
388,2001809917,1091121482593,2.1,0.6,d,d,Forward and RTO charges,1.25,,179.8,
391,2001806768,1091117227116,2.1,1.02,d,d,Forward charges,1.25,,146.0,
392,2001806885,1091117229776,2.1,1.0,b,b,Forward charges,0.5,,61.3,
394,2001808295,1091117435661,1.15,0.2,e,e,Forward and RTO charges,1.5,,127.3,
395,2001808295,1091117435661,1.3,0.2,e,e,Forward and RTO charges,1.5,,127.3,
396,2001806251,1091117222146,1.15,1.27,d,d,Forward charges,1.25,,135.0,
397,2001806251,1091117222146,1.3,1.27,d,d,Forward charges,1.25,,135.0,
398,2001806233,1091117222135,1.15,0.78,b,b,Forward charges,0.5,,61.3,
399,2001806233,1091117222135,1.3,0.78,b,b,Forward charges,0.5,,61.3,
400,2001807328,1091117324346,4.9,2.28,d,d,Forward charges,1.25,,235.6,
